Chunk,Frame,PSNR (dB),SSIM
46,817,33.2289,0.923872
46,818,33.2892,0.926008
46,819,33.3034,0.925533
46,820,33.2583,0.924848
46,821,33.1543,0.922207
46,822,33.1367,0.923392
46,823,33.1202,0.922467
46,824,34.5527,0.940063
46,825,33.8996,0.934075
46,826,33.6684,0.933535
46,827,33.9233,0.935021
46,828,34.3661,0.938655
46,829,33.6886,0.931955
46,830,34.023,0.93544
46,831,33.8188,0.932942
46,832,33.8792,0.933485
46,833,33.6296,0.929544
46,834,33.9381,0.93376
46,835,33.5586,0.930295
46,836,33.8489,0.932647
46,837,33.4649,0.927888
46,838,33.5231,0.929282
46,839,34.6232,0.939768
46,840,33.8822,0.934463
46,841,34.2448,0.935371
46,842,34.2286,0.936452
46,843,34.2172,0.936268
46,844,34.1652,0.935945
46,845,33.8387,0.931233
46,846,33.8135,0.932199
46,847,33.594,0.929443
46,848,33.445,0.926586
46,849,33.342,0.924726
46,850,33.4928,0.927891
46,851,33.4989,0.927928
46,852,33.3465,0.925679
46,853,33.3276,0.923919
46,854,33.5169,0.927685
46,855,33.0918,0.923658
46,856,34.2329,0.935439
46,857,33.4125,0.92722
46,858,34.2128,0.935015
46,859,33.4728,0.928477
46,860,34.1228,0.932844
46,861,33.3406,0.92571
46,862,34.2038,0.934235
46,863,33.7215,0.930589
46,864,33.9933,0.931895
46,865,33.6378,0.927042
46,866,33.8269,0.930593
46,867,33.6967,0.928657
46,868,33.7567,0.929048
46,869,33.5265,0.925376
46,870,33.6351,0.927439
46,871,33.6086,0.926631
46,872,33.6018,0.926124
46,873,33.6345,0.925057
46,874,33.3917,0.923899
46,875,33.207,0.921217
46,876,33.2567,0.921361
46,877,32.976,0.917266
46,878,33.1587,0.920177
46,879,33.2315,0.920422
46,880,33.2062,0.920187
46,881,33.7003,0.925316
46,882,33.1617,0.922572
46,883,33.726,0.926738
46,884,33.8017,0.926903
46,885,33.0028,0.919141
46,886,33.9817,0.92955
46,887,33.5982,0.926124
46,888,33.9813,0.929762
46,889,33.5782,0.925004
46,890,34.0526,0.930508
46,891,33.5084,0.925545
46,892,33.9717,0.929524
46,893,33.6327,0.925237
46,894,33.7257,0.927443
46,895,33.3214,0.922807
46,896,33.7502,0.926051
46,897,33.1227,0.919881
46,898,33.7254,0.926428
46,899,33.6706,0.925737
46,900,33.3709,0.923459
46,901,33.5452,0.92313
46,902,33.4926,0.924672
46,903,33.5382,0.924528
46,904,33.4749,0.924076
46,905,33.4938,0.922987
46,906,33.3943,0.923759
46,907,33.5298,0.924257
46,908,33.4374,0.923351
46,909,33.4383,0.922033
46,910,33.5732,0.924865
46,911,33.3062,0.921769
46,912,34.4366,0.934171
46,913,33.8886,0.928824
46,914,34.2857,0.932966
46,915,33.9604,0.930173
46,916,34.2994,0.933023
46,917,33.8629,0.928269
46,918,34.2884,0.932912
46,919,33.904,0.929601
